city,city_fr,country_code,continent,pop,housing,n_listings,l_1000hab,l_1000hsg,pop_source,geojson_found,n_nbh_geo,area_total_km2,n_nbh_centre,area_centre_km2,area_ratio,density_l_km2,n_groups,n_brut,n_centre,pct_centre,spread_km,scope_type,scope_note,pop_correct,hsg_correct,l_1000hab_commune,l_1000hab_metro,bias_factor
bergamo,Bergame,ITA,Europe,122000.0,68000.0,3379,27.7,49.7,ISTAT 2023,True,242,2745.8,1,40.8,0.015,82.8,0,3719,1504,40.4,66.7,agglo,~197 communes de la Province de Bergame. Pop commune = 122K.,1120000.0,500000.0,11.2,3.0,9.2
los-angeles,Los Angeles,USA,Americas,3821000.0,1500000.0,34594,9.1,23.1,US Census Bureau PEP 2024,True,270,10422.3,114,1229.3,0.118,28.1,3,45421,22774,50.1,163.5,agglo,City + Other Cities + Unincorporated Areas. Pop city = 3.82M.,5500000.0,2100000.0,4.5,6.3,1.4
bordeaux,Bordeaux,FRA,Europe,260000.0,168000.0,8187,31.5,48.7,INSEE RP2022,True,62,577.6,8,49.9,0.086,164.1,28,12383,6817,55.1,29.8,agglo,"28 communes Bordeaux Métropole. Pop commune = 260K, métropole = 820K.",820000.0,432000.0,17.3,10.0,3.2
lisbon,Lisbonne,PRT,Europe,545000.0,320000.0,20580,37.8,64.3,INE Portugal Census 2021,True,173,2813.3,24,100.0,0.036,205.8,16,24601,16840,68.5,69.7,agglo,16 communes AML (Área Metropolitana de Lisboa). Pop commune = 545K.,2870000.0,1350000.0,25.8,7.2,5.3
geneva,Genève,CHE,Europe,204000.0,110000.0,1805,8.8,16.4,OFS/OCSTAT 2023 (Ville de Geneve + canton),True,45,282.6,1,18.3,0.065,98.6,0,2762,2026,73.4,23.2,agglo,"45 communes du Canton de Genève. Pop commune = 200K, canton = 504K.",204000.0,,6.5,8.8,1.0
porto,Porto,PRT,Europe,232000.0,133000.0,12742,54.9,95.8,INE Portugal Census 2021,True,177,2039.7,7,41.4,0.02,307.8,17,14873,10928,73.5,76.3,agglo,17 communes AMP (Área Metropolitana do Porto). Pop commune = 232K.,1740000.0,780000.0,40.4,7.3,7.5
thessaloniki,Thessalonique,GRC,Europe,319000.0,190000.0,4559,14.3,24.0,ELSTAT Census 2021,True,7,243.2,1,19.8,0.081,230.3,0,4932,4365,88.5,13.5,agglo,7 municipalités dont Pilea-Chortiatis (157 km²). Pop centre = 319K.,319000.0,,12.6,14.3,1.0
victoria,Victoria,CAN,Americas,420000.0,175000.0,2617,6.2,15.0,StatCan CMA est. 2024 (Greater Victoria),True,29,4844.7,29,4844.7,1.0,0.5,16,3275,762,23.3,99.5,aligned,16 municipalities CRD. Pop = 420K = CMA StatCan.,,,,,
greater-manchester,Manchester (métro),GBR,Europe,2867000.0,1220000.0,6494,2.3,5.3,ONS Census 2021,True,41,1276.0,41,1276.0,1.0,5.1,10,7327,3283,44.8,48.8,aligned,10 boroughs. Pop = 2.87M = Greater Manchester (ONS Census 2021).,,,,,
new-york-city,New York,USA,Americas,8478000.0,3500000.0,20803,2.5,5.9,US Census Bureau PEP 2024 (5 boroughs),True,233,666.7,233,666.7,1.0,31.2,5,36322,36322,100.0,45.6,intra,5 boroughs = NYC proper. Pop = 8.48M = ville.,,,,,
madrid,Madrid,ESP,Europe,3400000.0,1650000.0,18974,5.6,11.5,INE Padron 2024,True,128,604.4,128,604.4,1.0,31.4,21,26004,26004,100.0,24.2,intra,21 distritos municipaux.,,,,,
barcelona,Barcelone,ESP,Europe,1660000.0,810000.0,14397,8.7,17.8,INE Padron 2024,True,75,102.2,75,102.2,1.0,140.9,10,18927,18927,100.0,13.4,intra,10 districtes municipaux.,,,,,
berlin,Berlin,DEU,Europe,3755000.0,2044000.0,8947,2.4,4.4,Statistik Berlin-Brandenburg 2023,True,140,890.9,140,890.9,1.0,10.0,12,14187,14187,100.0,41.8,intra,12 Bezirke (ville-État).,,,,,
valencia,Valence,ESP,Europe,800000.0,430000.0,8063,10.1,18.8,INE Padron 2024,True,88,137.0,88,137.0,1.0,58.9,19,9009,9009,100.0,29.6,intra,19 distritos municipaux.,,,,,
sevilla,Séville,ESP,Europe,685000.0,370000.0,7550,11.0,20.4,INE Padron 2024,True,108,141.2,108,141.2,1.0,53.5,11,8323,8323,100.0,13.5,intra,11 distritos municipaux.,,,,,
venice,Venise,ITA,Europe,258000.0,168000.0,7066,27.4,42.1,ISTAT 2023,True,118,85.6,118,85.6,1.0,82.5,2,8250,8250,100.0,30.1,intra,"2 zones (Isole + Terraferma), Comune di Venezia.",,,,,
seattle,Seattle,USA,Americas,755000.0,370000.0,6136,8.1,16.6,US Census Bureau PEP 2024,True,91,216.2,91,216.2,1.0,28.4,17,6862,6862,100.0,26.1,intra,17 neighbourhoods internes.,,,,,
singapore,Singapour,SGP,Asia-Pacific,6040000.0,1400000.0,2586,0.4,1.8,SingStat Jun 2024 (total pop incl. non-residents),True,55,776.3,55,776.3,1.0,3.3,5,3659,3659,100.0,39.4,intra,5 régions.,,,,,
zurich,Zurich,CHE,Europe,443000.0,234000.0,2378,5.4,10.2,Stadt Zürich 2023,True,34,91.8,34,91.8,1.0,25.9,12,3301,3301,100.0,11.6,intra,12 Kreise.,,,,,
